Tarih,Saat,Ihlal_Turu
2025-12-14,06:27:33,YORGUNLUK (UYUMA)
2025-12-14,06:27:33,DIKKAT DAGINIKLIGI (TELEFON)
2025-12-14,06:27:33,YORGUNLUK (UYUMA)
2025-12-14,06:27:33,DIKKAT DAGINIKLIGI (TELEFON)
2025-12-14,06:27:33,YORGUNLUK (UYUMA)
2025-12-14,06:27:33,DIKKAT DAGINIKLIGI (TELEFON)
2025-12-14,06:27:33,YORGUNLUK (UYUMA)
2025-12-14,06:27:33,DIKKAT DAGINIKLIGI (TELEFON)
2025-12-14,06:27:33,YORGUNLUK (UYUMA)
2025-12-14,06:27:33,DIKKAT DAGINIKLIGI (TELEFON)
2025-12-14,06:27:33,YORGUNLUK (UYUMA)
2025-12-14,06:27:33,DIKKAT DAGINIKLIGI (TELEFON)
2025-12-14,06:27:33,YORGUNLUK (UYUMA)
2025-12-14,06:27:33,DIKKAT DAGINIKLIGI (TELEFON)
2025-12-14,06:27:33,YORGUNLUK (UYUMA)
2025-12-14,06:27:33,DIKKAT DAGINIKLIGI (TELEFON)
2025-12-14,06:27:33,YORGUNLUK (UYUMA)
2025-12-14,06:27:33,DIKKAT DAGINIKLIGI (TELEFON)
2025-12-14,06:27:34,DIKKAT DAGINIKLIGI (TELEFON)
2025-12-14,06:27:34,YORGUNLUK (UYUMA)
2025-12-14,06:27:34,DIKKAT DAGINIKLIGI (TELEFON)
2025-12-14,06:27:35,DIKKAT DAGINIKLIGI (TELEFON)
2025-12-14,06:27:36,DIKKAT DAGINIKLIGI (TELEFON)
2025-12-14,06:27:36,YORGUNLUK (UYUMA)
2025-12-14,06:27:36,DIKKAT DAGINIKLIGI (TELEFON)
2025-12-14,06:27:36,YORGUNLUK (UYUMA)
2025-12-14,06:27:36,DIKKAT DAGINIKLIGI (TELEFON)
2025-12-14,06:27:36,YORGUNLUK (UYUMA)
2025-12-14,06:27:36,DIKKAT DAGINIKLIGI (TELEFON)
2025-12-14,06:27:37,DIKKAT DAGINIKLIGI (TELEFON)
2025-12-14,06:27:37,YORGUNLUK (UYUMA)
2025-12-14,06:27:37,DIKKAT DAGINIKLIGI (TELEFON)
2025-12-14,06:27:37,YORGUNLUK (UYUMA)
2025-12-14,06:27:37,DIKKAT DAGINIKLIGI (TELEFON)
2025-12-14,06:27:38,DIKKAT DAGINIKLIGI (TELEFON)
2025-12-14,06:27:38,YORGUNLUK (UYUMA)
2025-12-14,06:27:38,DIKKAT DAGINIKLIGI (TELEFON)
2025-12-14,06:27:39,YORGUNLUK (UYUMA)
2025-12-14,06:27:39,DIKKAT DAGINIKLIGI (TELEFON)
2025-12-14,06:27:39,YORGUNLUK (UYUMA)
2025-12-14,06:27:39,DIKKAT DAGINIKLIGI (TELEFON)
2025-12-14,06:27:39,YORGUNLUK (UYUMA)
2025-12-14,06:27:39,DIKKAT DAGINIKLIGI (TELEFON)
2025-12-14,06:27:39,YORGUNLUK (UYUMA)
2025-12-14,06:27:39,DIKKAT DAGINIKLIGI (TELEFON)
2025-12-14,06:27:39,YORGUNLUK (UYUMA)
2025-12-14,06:27:39,DIKKAT DAGINIKLIGI (TELEFON)
2025-12-14,06:27:39,YORGUNLUK (UYUMA)
2025-12-14,06:27:39,DIKKAT DAGINIKLIGI (TELEFON)
